1 pen[cilinder cnt.],一本のペン,いっぽんのぺん
species,種類,しゅるい
specific,特異的,とくいてき
spectator,観客,かんきゃく
speed(per h),時速,じそく
sport related to injury,怪我に繋がるスポーツ,けがにつながるすぽーつ
square,四角,しかく
sreet corner,街角,まちかど
stabilization,安定化,あんていか
stamp collection,切手収集,きってしゅうしゅう
standpoint,立場,たちば
starting(a machine),始動,しどう
staying expenses,滞在費,たいざいひ
Steady state,定常状態,ていじょうじょうたい
still(still there),依然,いぜん
stillness,静止,せいし
stimulus,覚醒剤,かくせいざい
strong-willed,意志の強い,いしのつよい
structure element,構造体要素,こうぞうたいようそ
student ID card,学生証,がくせいしょう
subjective symptoms,自覚症状,じかくしょうじょう
subjective(personal op)[main+outlook],主観的,しゅかんてき
subjunctive form(could/would)[temporary+fix],仮定形,かていけい
subordination clause,従属節,じゅうぞくせつ
sulfur,硫黄,いおう
sum total,合計,ごうけい
sumo wrestler,相撲取り,すもうとり
sun,お日様,おひさま
superior(ruler),上司,じょうし
supplementary teaching materials,副教材,ふくきょうざい
suppression,抑圧,よくあつ
surface,表面,ひょうめん
surrender,降参,こうさん
symmetry,対称性,たいしょうせい
sympathy,交感,こうかん
syndrom,症候群,しょうこうぐん
synonym,同意語,どういご
syntax,文章論,ぶんしょうろん
tactile sensation,触覚,しょっかく
tax,税金,ぜいきん
taxes,税金,ぜいきん
tension,張力,ちょうりょく
test,試験,しけん
the end,お仕舞い,おしまい
the past,過去,かこ
Theoretical physics,理論物理学,りろんぶつりがく
thing,事柄,ことがら
threshold ,閾値,いきち
ticket selling machine,券売機,けんばいき
time axis,時間軸,じかんじく
time table,時刻表,じこくひょう
to act like one has to spare,余裕を噛ます,よゆうをかます
to act rude,振る舞いは荒々しい,ふるまいはあらあらしい
to add something,加える,くわえる
to advance(forward),進む,すすむ
to agree,同意する,どういする
to align(to edge),揃える,そろえる
to approach,寄る,よる
to ask,尋ねる,たずねる
to bark,吠える,はえる
to be adjacent(itnr),接する,せっする
to be fit for(intr),適する,てきする
to be in a hurry,急ぐ,いそう
to be late,遅れる,おこれる
to be laying down,横たわる,よこたわる
to be shattered(intr),砕ける,くだける
to behave,振舞う,ふるまう
to calm down(weather),泰然する,たいぜんする
to carry,運ぶ,はこぶ
to cause trouble(for),累が及ぶ,るいがおよぶ
to chant(to say) ,唱える,となえる
to characterize,特徴付ける,とくちょうづける
to come to existance,成立する,せいりつする
to commit(crime),犯す,おかす
to concetrate,集中する,しゅうちゅうする
to conform(to obay),従う,したがう
to convey(info),伝える,つたえる
to cover(to extend),渡る,わたる
to decrease in size,減る,へる
to dicrease(intr),減る,へる
to differ(intr),異なる,ことなる
to discard,捨てる,すてる
to distinguish,区別がつく,くべつがつく
to do together,共に,ともに
to emphasize,取り立てる,とりたてる
to encourage tr,促す,うながす
to end(int),終わる,おわる
to exchange(re+),繰り替える,くりかえる
to exclude,除く,のぞく
to fall down rolling,転がり落ちる,ころがりおちる
to follow someone,追う,おう
to get accustomed,慣れる,なれる
to get in touch with,連絡を取る,れんらくをとれる
to get off(car),降りる,おりる
to get,得る,える
to give,与える,あたえる
to go to meet,迎える,むかえる
to grasp tr,握る,にぎる
to hand over,渡す,わたす
to have something in common,相通じる,あいつうじる
to hold dear,大事にする,だいじにする
to include,含む,ふくむ
to increase(intr),増える,ふえる
to indicate,示す,しめす
to invite,誘う,さそう
to lay down,横になる,よこになる
to learn,身につける,みにつける
to leave(to be separated),離れる,はなれる
to load(a gun),込める,こめる
to make a lasting impression,印象に残る,いんしょうにのこる
to make fun of,揶揄う,からかう
to make noise,騒音を立てる,そうおんをたてる
to match(tr),合わせる,あわせる
to measure,計る,はかる
to move(tr),動かす,うごかす
to need,要る,いる
to obay instructions,指示に従う,しじにしたがう
to operate(machine),操る,あやつる
to partition,区切る,くぎる
to perform,行う,おこなう
to pick up,拾う,ひろう
to play musical,弾く,ひく
to receive care,世話になる,せわになる
to recommend tr,勧める,すすめる
to recommend,勧める,すすめる
to refuse tr,断る,ことわる
to repeat(re+),繰り返す,くりかえす
to replace(re+),入れ替える,いれかえる
to restrict(tr),限る,かぎる
to ring,鳴る,なる
to rise up,立ち昇る,たちのぼる
to scan,スキャン,すきゃん
to set a deadline,期限を切る,きげんをきる
to show the way,導く,みちびく
to show(to express),表す,あらわす
to spin,巡る,めぐる
to spin(onomato),グルグル,ぐるぐる
to stop(tr),止める,とめる
to take a rest,休憩をとる,きゅうけいをとる
to take a walk,散歩,さんぽ
to take leave,辞する,じする
to talk about(tr),語る,かたる
to tell apart tr(one from another),見分ける,みわける
to throw,投げる,なげる
to use ,用いる,もちいる
to watch,観る,みる
to wish for,求める,もとめる
tomb of someone with no relatives,無縁墓,むえんばか
topic(grammar),主題,しゅだい
traffic control(sorting),交通整理,こうつうせいり
transaction(katakana),トランザクション,とらんざくしょん
transfrmation,変換,へんかん
transitive verb,他動詞,たどうし
transmission originator,発信元,はっしんもと
transmission,通過,つうか
transportation,輸送,ゆそう
trash bin,ゴミ箱,ごみばこ
turn,順番,じゅんばん
typical(question),一般的,いっぱんてき
unable to pass through,通れない,とおれない
unbiased(objective),客観的,きゃっかんてき
under guidance,指導の下に,しどうのもとに
unmarried person,独身者,どくしんしゃ
unordered(random order),順序不同,じゅんじょふどう
unrelated,関係がない,かんけいがない
unreliable,頼りない,たよりない
unspecific,非特異的,ひとくいてき
untreatable(therapy inpossible),治療不可能,ちりょうふかのう
vague(unclear),漠然,ばくぜん
validation(confirm+knowledge),確認,かくにん
variant,変種,へいしゅ
victim,被害者,ひがいしゃ
viewpoint,見方,みかた
visibility,視感度,しかんど
vision of a future,将来像,しょうらいぞう
visit,訪問,ほうもん
visitor,来客者,らいきゃくしゃ
visual(editor),視覚的,しかくてき
vocabulary table,語彙表,ごいひょう
voltage(electr+pressure),電圧,でんあつ
waypoint ,通過点,つうかてん
when practice,練習の際,れんしゅうのさい
width(in range of 3 hours),幅,はば
winning after defeat(comback!),逆転勝ち,ぎゃくてんがち
without hesitation,迷いなく,まよいなく
word used mainly in writing,文章語,ぶんしょうご
work environment,作業環境,さぎょうかんきょう
work to be submitted,提出物,ていしゅつぶつ
worry,気遣い,きづかい
writer(device),記録器,きろくき
writing on a blackboard,板書,ばんしょ
young person,若者,わかもの
