to spray something,「を噴射する」,ふんしゃする
to spread something,「を広げる」,ひろげる

to stare at something,「を見つめる」,みつめる


to stimulate something,「を促す」,うながす
to stir something,「かき混ぜる」,かきまぜる
to stop doing something,「〜を止める」,やめる
to stop moving,「が動きを止める」,とめる

to subtract something,「を引く」,ひく
to support someone,「をサポートする」,すぽーとする

to swing something,「を振り回す」,ふりまわす
to synthesize something,「を合成する」,ごうせいする
[old language syn+thesis = same + place]
[synchronous = same time]
[synonym = same word]

to take something away from someone,「を取り上げる」,とりあげる

to taste something,「を味見する」,あじみする
to teach someone something,「〜に〜を教える」,おしえる
to tell something,「を伝える」,つたえる

to tick,「がチックする」,ちっくする
to tie something,[を締める],しめる
to tilt something,「を傾ける」,かたむける
to touch something,「を触れる」,ふれる
to translate something,「何かを翻訳する」,ほんやくする
to trigger something,「を起こす」,おこす
to turn something off,「〜を消す」,けす
to turn something on,「〜をつける」,つける
to unpack something,「を開く」,ひらく

to vote for something,「〜に投票する」,とうひょうする

to wash something out,「を洗い流す」,あらいながす

to wither,「が枯れる」,かれる
to worry about something,「〜について心配する」,しんぱいする

