384,居,,尸,8,5,,reside,きょ
385,拒,,手,8,S,,repel,きょ
386,拠,據,手,8,S,,foothold,きょ
387,挙,擧,手,10,4,,raise,きょ
388,虚,虛,虍,11,S,,void,きょ
389,許,,言,11,5,,permit,きょ
390,距,,足,12,S,,long-distance,きょ
391,魚,,魚,11,2,,fish,ぎょ
392,御,,彳,12,S,,honorable,ご
393,漁,,水,14,4,,fishing,ぎょ
394,凶,,凵,4,S,,villain,きょう
395,共,,八,6,4,,together,きょう
396,叫,,口,6,S,,shout,きょう
397,狂,,犬,7,S,,lunatic,きょう
398,京,,亠,8,2,,capital,きょう
399,享,,亠,8,S,,receive,きょう
400,供,,人,8,6,,offer,きょう
401,協,,十,8,4,,cooperation,きょう
402,況,,水,8,S,,condition,きょう
403,峡,峽,山,9,S,,gorge,きょう
404,挟,挾,手,9,S,1981,pinch,きょう
405,狭,狹,犬,9,S,,narrow,きょう
406,恐,,心,10,S,,fear,きょう
407,恭,,心,10,S,,respect,きょう
408,胸,,肉,10,6,,breast,きょう
409,脅,,肉,10,S,,threaten,きょう
410,強,,弓,11,2,,strong,きょう
411,教,,攴,11,2,,teach,きょう
412,郷,鄕,邑,11,6,,home town,きょう
413,境,,土,14,5,,boundary,きょう
414,橋,,木,16,3,,bridge,きょう
415,矯,,矢,17,S,1981,rectify,きょう
416,鏡,,金,19,4,,mirror,きょう
417,競,,立,20,4,,compete,きょう
418,響,響,音,20,S,,echo,きょう
419,驚,,馬,22,S,,wonder,きょう
420,仰,,人,6,S,,face-up,ぎょう
421,暁,曉,日,12,S,,daybreak,きょう
422,業,,木,13,3,,business,ぎょう
423,凝,,冫,16,S,,stiff,ぎょう
424,曲,,曰,6,3,,musical composition,きょく
425,局,,尸,7,3,,office,きょく
426,極,,木,12,4,,poles,きょく
427,玉,,玉,5,1,,ball,ぎょく
428,巾,,巾,3,S,2010,towel,きん
429,斤,,斤,4,S,,axe,きん
430,均,,土,7,5,,level,きん
431,近,,辵,7,2,,near,きん
432,金,,金,8,1,,gold,きん
433,菌,,艸,11,S,,germ,きん
434,勤,勤,力,12,6,,serve,きん
435,琴,,玉,12,S,,harp,きん
436,筋,,竹,12,6,,muscle,きん
437,僅,,人,13,S,2010,fragment,きん
438,禁,,示,13,5,,prohibition,きん
439,緊,,糸,15,S,,tense,きん
440,錦,,金,16,S,2010,brocade,きん
441,謹,謹,言,17,S,,discreet,きん
442,襟,,衣,18,S,1981,collar,きん
443,吟,,口,7,S,,versify,ぎん
444,銀,,金,14,3,,silver,ぎん
445,区,區,匸,4,3,,ward,く
446,句,,口,5,5,,phrase,く
447,苦,,艸,8,3,,suffer,く
448,駆,驅,馬,14,S,,drive,く
449,具,,八,8,3,,tool,ぐ
450,惧,,心,11,S,2010,dread,ぐ
451,愚,,心,13,S,,foolish,ぐ
452,空,,穴,8,1,,sky,くう
453,偶,,人,11,S,,accidentally,ぐう
454,遇,,辵,12,S,,interview,ぐう
455,隅,,阜,12,S,1981,corner,ぐう
456,串,,丨,7,S,2010,skewer,くし
457,屈,,尸,8,S,,yield,くつ
458,掘,,手,11,S,,dig,くつ
459,窟,,穴,13,S,2010,cavern,くつ
460,熊,,火,14,4,2010,bear,くま
461,繰,,糸,19,S,,winding,くり
462,君,,口,7,3,,you,くん
463,訓,,言,10,4,,instruction,くん
464,勲,勳,力,15,S,,admirable deed,くん
465,薫,薰,艸,16,S,,fragrant,くん
466,軍,,車,9,4,,army,ぐん
467,郡,,邑,10,4,,county,ぐん
468,群,,羊,13,4,,flock,ぐん
469,兄,,儿,5,2,,older brother,けい
470,刑,,刀,6,S,,punish,けい
471,形,,彡,7,2,,shape,けい
472,系,,糸,7,6,,lineage,けい
473,径,徑,彳,8,4,,diameter,けい
474,茎,莖,艸,8,S,,stalk,けい
475,係,,人,9,3,,person in charge,けい
476,型,,土,9,5,,model,けい
477,契,,大,9,S,,pledge,けい
478,計,,言,9,2,,measure,けい
479,恵,惠,心,10,S,,favor,けい
480,啓,,口,11,S,,disclose,けい
481,掲,揭,手,11,S,,put up,けい
482,渓,溪,水,11,S,1981,mountain stream,けい
483,経,經,糸,11,5,,manage,けい
484,蛍,螢,虫,11,S,1981,lightning-bug,けい
485,敬,,攴,12,6,,respect,けい
486,景,,日,12,4,,scenery,けい
487,軽,輕,車,12,3,,lite,けい
488,傾,,人,13,S,,lean,けい
489,携,,手,13,S,,portable,けい
490,継,繼,糸,13,S,,inherit,けい
491,詣,,言,13,S,2010,visit a temple,けい
492,慶,,心,15,S,,euphoria,けい
493,憬,,心,15,S,2010,long for,けい
494,稽,,禾,15,S,2010,consider,けい
495,憩,,心,16,S,,recess,けい
496,警,,言,19,6,,guard against,けい
497,鶏,鷄,鳥,19,S,,chicken,けい
498,芸,藝,艸,7,4,,art,げい
499,迎,,辵,7,S,,welcome,げい
500,鯨,,魚,19,S,,whale,げい
501,隙,,阜,13,S,2010,fissure,げき
502,劇,,刀,15,6,,drama,げき
503,撃,擊,手,15,S,,beat,げき
504,激,,水,16,6,,violent,げき
505,桁,,木,10,S,2010,beam,けた
506,欠,缺,缶,4,4,,lack,けつ
507,穴,,穴,5,6,,hole,けつ
508,血,,血,6,3,,blood,けつ
509,決,,水,7,3,,decide,けつ
510,結,,糸,12,4,,tie,けつ
511,傑,,人,13,S,,greatness,けつ
512,潔,,水,15,5,,undefiled,けつ
513,月,,月,4,1,,month,げつ
514,犬,,犬,4,1,,dog,けん
515,件,,人,6,5,,affair,けん
516,見,,見,7,1,,see,けん
517,券,,刀,8,6,,ticket,けん
518,肩,,肉,8,S,,shoulder,けん
519,建,,廴,9,4,,build,けん
520,研,硏,石,9,3,,sharpen,けん
521,県,縣,糸,9,3,,prefecture,けん
522,倹,儉,人,10,S,,carefull use,けん
523,兼,,八,10,S,,concurrently,けん
524,剣,劍,刀,10,S,,sabre,けん
525,拳,,手,10,S,2010,fist,けん
526,軒,,車,10,S,,flats,けん
527,健,,人,11,4,,healthy,けん
528,険,險,阜,11,5,,steep,けん
529,圏,圈,囗,12,S,,sphere,けん
530,堅,,土,12,S,,strict,けん
531,検,檢,木,12,5,,examine,けん
532,嫌,,女,13,S,1981,dislike,けん
533,献,獻,犬,13,S,,offering,けん
534,絹,,糸,13,6,,silk,けん
535,遣,,辵,13,S,,dispatch,けん
536,権,權,木,15,6,,rights,けん
537,憲,,心,16,6,,constitution,けん
538,賢,,貝,16,S,,intelligent,けん
539,謙,,言,17,S,,humble,けん
540,鍵,,金,17,S,2010,key,けん
541,繭,,糸,18,S,,cocoon,けん
542,顕,顯,頁,18,S,,appear,けん
543,験,驗,馬,18,4,,test,けん
544,懸,,心,20,S,,suspend,けん
545,元,,儿,4,2,,origin,げん
546,幻,,幺,4,S,,phantasm,げん
547,玄,,玄,5,S,,mysterious,げん
548,言,,言,7,2,,say,げん
549,弦,,弓,8,S,,bowstring,げん
550,限,,阜,9,5,,limit,げん
551,原,,厂,10,2,,field,げん
552,現,,玉,11,5,,appear,げん
553,舷,,舟,11,S,2010,gunwale,げん
554,減,,水,12,5,,decrease,げん
555,源,,水,13,6,,origin,げん
556,厳,嚴,口,17,6,,strict,げん
557,己,,己,3,6,,self,こ
558,戸,,戶,4,2,,door,こ
559,古,,口,5,2,,old,こ
560,呼,,口,8,6,,call,こ
561,固,,囗,8,4,,hard,こ
562,股,,肉,8,S,2010,crotch,こ
563,虎,,虍,8,S,2010,tiger,こ
564,孤,,子,9,S,,orphan,こ
565,弧,,弓,9,S,,arc,こ
566,故,,攴,9,5,,circumstances,こ
567,枯,,木,9,S,,wither,こ
568,個,,人,10,5,,individual,こ
569,庫,,广,10,3,,warehouse,く
570,湖,,水,12,3,,lake,こ
571,雇,,隹,12,S,,employ,こ
572,誇,,言,13,S,,boast,こ
573,鼓,,鼓,13,S,,drum,こ
574,錮,,金,16,S,2010,tie up,こ
575,顧,,頁,21,S,,look back,こ
576,五,,二,4,1,,five,ご
577,互,,二,4,S,,mutually,ご
578,午,,十,4,2,,noon,ご
579,呉,,口,7,S,,give,ご
580,後,,彳,9,2,,behind,ご
581,娯,,女,10,S,,recreation,ご
582,悟,,心,10,S,,enlightenment,ご
583,碁,,石,13,S,,Go,ご
584,語,,言,14,2,,language,ご
585,誤,,言,14,6,,mistake,ご
586,護,,言,20,5,,safeguard,ご
587,口,,口,3,1,,mouth,こう
588,工,,工,3,2,,craft,こう
589,公,,八,4,2,,public,こう
590,勾,,勹,4,S,2010,capture,こう
591,孔,,子,4,S,,cavity,こう
592,功,,力,5,4,,achievement,こう
593,巧,,工,5,S,,skilled,こう
594,広,廣,广,5,2,,wide,こう
595,甲,,田,5,S,,armor,こう
596,交,,亠,6,2,,mix,こう
597,光,,儿,6,2,,ray,こう
598,向,,口,6,3,,over there,こう
599,后,,口,6,6,,empress,こう
600,好,,女,6,4,,like,こう
601,江,,水,6,S,,inlet,こう
602,考,,老,6,2,,think,こう
603,行,,行,6,2,,go,こう
604,坑,,土,7,S,,pit,こう
605,孝,,子,7,6,,filial piety,こう
606,抗,,手,7,S,,confront,こう
607,攻,,攴,7,S,,aggression,こう
608,更,,曰,7,S,,grow late,こう
609,効,效,力,8,5,,effect,こう
610,幸,,干,8,3,,happiness,こう
611,拘,,手,8,S,,arrest,こう
612,肯,,肉,8,S,,agreement,こう
613,侯,,人,9,S,,marquis,こう
614,厚,,厂,9,5,,thick,こう
615,恒,恆,心,9,S,,constancy,こう
616,洪,,水,9,S,1981,deluge,こう
617,皇,,白,9,6,,emperor,こう
618,紅,,糸,9,6,,deep red,こう
619,荒,,艸,9,S,,laid waste,こう
620,郊,,邑,9,S,,outskirts,こう
621,香,,香,9,4,,incense,こう
622,候,,人,10,4,,climate,こう
623,校,,木,10,1,,school,こう
624,耕,,耒,10,5,,till,こう
625,航,,舟,10,5,,cruise,こう
626,貢,,貝,10,S,,tribute,こう
627,降,,阜,10,6,,descend,こう
628,高,,高,10,2,,tall,こう
629,康,,广,11,4,,health,こう
630,控,,手,11,S,,withdraw,こう
631,梗,,木,11,S,2010,close up,こう
632,黄,黃,黃,11,2,,yellow,こう
633,喉,,口,12,S,2010,throat,こう
634,慌,,心,12,S,,disconcerted,こう
635,港,,水,12,3,,harbor,こう
636,硬,,石,12,S,,stiff,こう
637,絞,,糸,12,S,,strangle,こう
638,項,,頁,12,S,,paragraph,こう
639,溝,,水,13,S,1981,gutter,こう
640,鉱,鑛,金,13,5,,mineral,こう
641,構,,木,14,5,,construct,こう
642,綱,,糸,14,S,,hawser,こう
643,酵,,酉,14,S,,fermentation,こう
644,稿,,禾,15,S,,draft,こう
645,興,,臼,16,5,,entertain,きゅう
646,衡,,行,16,S,,equilibrium,こう
647,鋼,,金,16,6,,steel,こう
648,講,,言,17,5,,lecture,こう
649,購,,貝,17,S,,subscription,こう
650,乞,,乙,3,S,2010,beg,こ-う
651,号,號,虍,5,3,,number,こう
652,合,,口,6,2,,fit,ごう
653,拷,,手,9,S,,torture,ごう
654,剛,,刀,10,S,,sturdy,ごう
655,傲,,人,13,S,2010,be proud,ごう
656,豪,,豕,14,S,,overpowering,ごう
657,克,,儿,7,S,,overcome,こく
658,告,,口,7,5,,tell,こく
659,谷,,谷,7,2,,valley,こく
660,刻,,刀,8,6,,engrave,こく
661,国,國,囗,8,2,,country,こく
662,黒,黑,黑,11,2,,black,こく
663,穀,穀,禾,14,6,,cereals,こく
664,酷,,酉,14,S,,cruel,こく
665,獄,,犬,14,S,,prison,ごく
666,骨,,骨,10,6,,bone,こつ
667,駒,,馬,15,S,2010,horse,こま
668,込,,辵,5,S,,crowded,こむ
669,頃,,頁,11,S,2010,times,ころ
670,今,,人,4,2,,now,こん
671,困,,囗,7,6,,become distressed,こん
672,昆,,日,8,S,1981,descendants,こん
673,恨,,心,9,S,,bitterness,こん
674,根,,木,10,3,,root,こん
675,婚,,女,11,S,,marriage,こん
676,混,,水,11,5,,mix,こん
677,痕,,疒,11,S,2010,mark,こん
678,紺,,糸,11,S,,dark blue,こん
679,魂,,鬼,14,S,,soul,こん
680,墾,,土,16,S,,ground-breaking,こん
681,懇,,心,17,S,,sociable,こん
682,左,,工,5,1,,left,さ
683,佐,,人,7,4,,help,さ
684,沙,,水,7,S,2010,sand,さ
685,査,,木,9,5,,investigate,さ
686,砂,,石,9,6,,sand,さ
